PC;Tamaño (nxn);Algoritmo;Lenguaje;Repetición;Media;Varianza;Desviación;Tamaño muestra
1;1000;5;c++;2;0.8903;0.0008;0.0288;0.0511
1;700;3;c++;1;1.3109;0.0014;0.0373;0.0856
1;700;1;c++;2;0.7913;0.0013;0.0356;0.0780
1;900;3;c++;3;1.3863;0.0007;0.0270;0.0448
1;500;4;go;3;2.9180;0.0070;0.0810;0.4080
1;1000;1;go;3;2.5860;0.0010;0.0340;0.0720
1;500;1;c++;3;0.8203;0.0057;0.0757;0.3527
1;900;5;c++;2;0.8329;0.0001;0.0099;0.0060
1;800;2;go;3;3.2200;0.0030;0.0570;0.2010
1;900;5;c++;1;0.8193;0.0010;0.0318;0.0621
1;700;5;c++;3;0.8983;0.0014;0.0376;0.0871
1;1100;2;c++;2;1.0242;0.0027;0.0517;0.1640
1;800;5;c++;2;0.8732;0.0053;0.0727;0.3249
1;600;1;c++;1;0.7889;0.0011;0.0337;0.0697
1;700;4;c++;1;1.0421;0.0006;0.0243;0.0364
1;400;3;c++;2;1.1893;0.0037;0.0605;0.2250
1;700;3;c++;2;1.2461;0.0009;0.0306;0.0577
1;1000;2;go;3;3.3230;0.0100;0.0980;0.5890
1;500;2;go;2;3.2520;0.0080;0.0900;0.4940
1;800;5;c++;3;0.8624;0.0008;0.0280;0.0483
1;1100;1;go;3;2.5700;0.0060;0.0750;0.3470
1;1000;4;c++;2;1.0484;0.0021;0.0453;0.1262
1;500;3;c++;2;1.2314;0.0097;0.0987;0.5987
1;900;1;go;2;2.5710;0.0040;0.0620;0.2350
1;500;3;go;1;4.5930;0.0090;0.0930;0.5270
1;400;4;go;1;2.9730;0.0030;0.0520;0.1640
1;700;2;c++;1;1.0063;0.0032;0.0564;0.1957
1;400;1;go;3;2.5980;0.0090;0.0950;0.5540
1;400;5;c++;2;0.8378;0.0014;0.0372;0.0852
1;900;4;go;3;2.9260;0.0040;0.0630;0.2440
1;1000;2;c++;1;0.9849;0.0013;0.0357;0.0783
1;400;5;c++;1;0.8433;0.0101;0.1007;0.6236
1;900;1;c++;2;0.8268;0.0180;0.1341;1.1049
1;800;3;c++;3;1.3316;0.0003;0.0177;0.0192
1;600;1;go;2;2.5700;0.0040;0.0640;0.2510
1;600;5;c++;3;0.9100;0.0005;0.0233;0.0334
1;1100;3;c++;3;9.1817;0.0159;0.1261;0.9779
1;1000;5;c++;1;0.8183;0.0010;0.0309;0.0588
1;500;4;go;2;2.9510;0.0060;0.0750;0.3410
1;700;1;go;3;2.5740;0.0010;0.0360;0.0810
1;600;3;c++;3;1.3382;0.0062;0.0790;0.3832
1;700;5;go;2;2.3370;0.0010;0.0350;0.0770
1;600;5;go;2;2.3190;0.0020;0.0460;0.1290
1;1100;4;c++;1;1.0331;0.0004;0.0204;0.0255
1;500;4;c++;3;1.0651;0.0077;0.0879;0.4747
1;400;3;go;2;5.4110;0.0210;0.1460;1.3020
1;600;5;c++;2;0.8628;0.0004;0.0211;0.0274
1;400;1;c++;1;0.7990;0.0007;0.0263;0.0424
1;400;2;go;2;3.3210;0.0280;0.1660;1.6990
1;1000;5;go;2;2.3070;0.0020;0.0420;0.1060
1;1000;3;go;2;5.2450;0.0530;0.2300;3.2450
1;900;2;go;3;3.2000;0.0060;0.0780;0.3790
1;700;2;go;3;3.2360;0.0050;0.0680;0.2850
1;700;2;c++;3;1.0056;0.0040;0.0631;0.2444
1;400;1;c++;3;0.7995;0.0043;0.0656;0.2644
1;600;4;go;2;2.9450;0.0030;0.0570;0.1970
1;500;3;c++;1;1.1770;0.0011;0.0338;0.0701
1;500;5;c++;2;0.8541;0.0016;0.0395;0.0957
1;900;2;go;1;3.2380;0.0110;0.1070;0.7050
1;800;1;go;2;2.5570;0.0020;0.0430;0.1150
1;700;3;go;1;5.0500;0.0220;0.1490;1.3660
1;1100;3;go;2;5.9710;0.0580;0.2410;3.5640
1;900;1;go;3;2.5570;0.0030;0.0500;0.1570
1;900;5;go;3;2.3170;0.0010;0.0340;0.0720
1;900;3;c++;1;1.3668;0.0007;0.0267;0.0438
1;800;5;go;2;2.3140;0.0010;0.0320;0.0630
1;400;1;c++;2;0.7870;0.0037;0.0606;0.2255
1;500;2;c++;2;1.0282;0.0083;0.0910;0.5095
1;400;3;go;1;5.4600;0.0480;0.2190;2.9600
1;1100;1;c++;2;0.8056;0.0001;0.0073;0.0033
1;500;2;c++;1;1.0942;0.0061;0.0782;0.3759
1;500;3;go;2;5.0430;0.0110;0.1050;0.6740
1;800;4;go;1;2.9210;0.0030;0.0530;0.1740
1;1100;2;c++;1;1.0025;0.0013;0.0358;0.0789
1;600;4;c++;2;1.0524;0.0035;0.0592;0.2153
1;800;4;go;3;2.9250;0.0020;0.0480;0.1430
1;1100;5;c++;2;0.8908;0.0004;0.0194;0.0232
1;1100;5;go;2;2.3290;0.0010;0.0310;0.0580
1;600;4;c++;3;1.2477;0.1085;0.3294;6.6689
1;900;5;c++;3;0.8688;0.0019;0.0436;0.1168
1;1100;1;c++;3;0.8087;0.0002;0.0134;0.0110
1;600;1;go;1;2.5630;0.0080;0.0920;0.5160
1;900;4;c++;1;1.0408;0.0001;0.0106;0.0069
1;700;1;c++;3;0.8004;0.0004;0.0193;0.0229
1;1000;1;go;1;2.5610;0.0080;0.0880;0.4770
1;800;2;c++;3;1.0122;0.0040;0.0636;0.2485
1;400;1;go;1;2.6380;0.0450;0.2130;2.7830
1;700;1;go;2;2.5720;0.0030;0.0530;0.1720
1;600;4;go;1;2.9520;0.0030;0.0560;0.1900
1;500;1;c++;1;0.7855;0.0023;0.0484;0.1439
1;1000;5;go;3;2.3460;0.0020;0.0400;0.1010
1;1100;4;c++;3;1.0293;0.0011;0.0330;0.0670
1;800;1;c++;1;0.7858;0.0021;0.0458;0.1291
1;600;5;go;1;2.3270;0.0010;0.0290;0.0520
1;900;2;go;2;3.2250;0.0040;0.0620;0.2360
1;900;1;c++;1;0.7933;0.0011;0.0325;0.0647
1;500;5;go;2;2.3030;0.0020;0.0410;0.1010
1;500;4;go;1;2.9590;0.0020;0.0420;0.1110
1;700;2;go;2;3.3340;0.0040;0.0640;0.2500
1;700;3;go;2;5.2240;0.0140;0.1180;0.8610
1;1100;1;c++;1;0.7957;0.0008;0.0276;0.0467
